"IDOferty","CenaPLN","KM","Marka","Model","LiczbaDrzwi","PojemnoscSkokowa","PrzebiegKm","RodzajPaliwa","RokProdukcji","Kolor","KrajPochodzenia","PojazdUszkodzony","SkrzyniaBiegow"
132,81500,184,"Mercedes-Benz","C 200","4/5",1796,49300,"benzyna",2007,"czarny-metallic","Polska","Nie","manualna"
133,30900,136,"Ford","C-MAX","4/5",2000,129500,"olej napędowy (diesel)",2007,"szary-metallic","Niemcy","Nie","manualna"
134,20000,99,"Renault","Megane","4/5",1998,90000,"benzyna",2004,"szary-metallic","Polska","Nie","automatyczna"
135,63900,170,"Audi","A4","4/5",2000,86000,"olej napędowy (diesel)",2007,"grafitowy-metallic","Polska","Nie","manualna"
137,16500,105,"Renault","Megane","4/5",1500,163000,"olej napędowy (diesel)",2005,"niebieski-metallic","Polska","Nie","manualna"
138,44900,125,"Ford","S-Max","4/5",1800,120000,"olej napędowy (diesel)",2006,"grafitowy-metallic","Francja","Nie","manualna"
139,21500,130,"Volkswagen","Passat","4/5",1896,220000,"olej napędowy (diesel)",2004,"srebrny-metallic","Niemcy","Nie","automatyczna"
140,27000,105,"Volkswagen","Jetta","4/5",1900,150000,"olej napędowy (diesel)",2008,"grafitowy-metallic","Polska","Nie","manualna"
141,26900,90,"Toyota","Auris","2/3",1400,162500,"olej napędowy (diesel)",2007,"srebrny-metallic","Polska","Nie","manualna"
142,32000,144,"Opel","Zafira","4/5",1800,124200,"benzyna",2006,"granatowy-metallic","Polska","Nie","automatyczna"
143,31000,147,"Toyota","Avensis","4/5",1998,121000,"benzyna",2003,"srebrny-metallic","Niemcy","Nie","manualna"
144,23900,85,"Renault","Clio","4/5",1461,24000,"olej napędowy (diesel)",2009,"grafitowy-metallic","Francja","Nie","manualna"
145,149000,184,"BMW","X3","4/5",1995,15000,"olej napędowy (diesel)",2011,"czarny-metallic","Polska","Nie","automatyczna"
146,32900,116,"Toyota","Corolla Verso","4/5",2000,225000,"olej napędowy (diesel)",2004,"zloty-metallic","Francja","Nie","manualna"
147,31900,105,"Skoda","Octavia","4/5",1900,106000,"olej napędowy (diesel)",2008,"srebrny-metallic","Polska","Nie","manualna"
148,18600,90,"Opel","Astra","4/5",1400,76000,"benzyna",2007,"granatowy","Polska","Nie","manualna"
149,31900,125,"Ford","Mondeo","4/5",1800,102000,"olej napędowy (diesel)",2007,"granatowy","Polska","Nie","manualna"
151,74000,205,"Renault","Laguna","2/3",1998,35700,"benzyna",2009,"czarny-metallic","Polska","Nie","manualna"
152,11000,68,"Renault","Clio","2/3",1461,163000,"olej napędowy (diesel)",2007,"bialy","Polska","Nie","manualna"
153,53700,122,"Skoda","Octavia","4/5",1390,23500,"benzyna",2010,"czarny-metallic","Polska","Nie","manualna"
154,26900,163,"Mercedes-Benz","C 200","2/3",1998,175000,"benzyna",2001,"srebrny-metallic","Polska","Nie","manualna"
156,27900,100,"Opel","Vectra","4/5",1910,121172,"olej napędowy (diesel)",2007,"bialy","Niemcy","Nie","manualna"
157,21900,136,"Ford","Focus","4/5",1997,138700,"olej napędowy (diesel)",2005,"niebieski","Niemcy","Nie","manualna"
159,32000,136,"Ford","C-MAX","4/5",2000,99700,"olej napędowy (diesel)",2007,"zielony-metallic","Niemcy","Nie","manualna"
160,48900,120,"Volkswagen","Transporter","4/5",1900,165000,"olej napędowy (diesel)",2006,"bordowy","Niemcy","Nie","manualna"
161,25900,150,"BMW","320","4/5",1995,213472,"olej napędowy (diesel)",2004,"czarny-metallic","Niemcy","Nie","manualna"
162,168000,326,"Audi","Q7","4/5",4134,210000,"olej napędowy (diesel)",2007,"niebieski-metallic","Polska","Nie","automatyczna"
164,48900,109,"Ford","Focus","4/5",1560,55441,"olej napędowy (diesel)",2009,"czarny-metallic","Polska","Nie","manualna"
167,37900,140,"Opel","Vectra","4/5",1800,77000,"benzyna",2008,"granatowy","Polska","Nie","manualna"
168,37400,90,"Ford","Focus","4/5",1560,76000,"olej napędowy (diesel)",2008,"srebrny-metallic","Polska","Nie","manualna"
169,34200,100,"Opel","Astra","4/5",1686,62000,"olej napędowy (diesel)",2007,"srebrny-metallic","Polska","Nie","manualna"
170,39900,140,"Audi","A3","2/3",2000,77000,"olej napędowy (diesel)",2006,"granatowy-metallic","Polska","Nie","manualna"
171,25000,90,"Toyota","Corolla","4/5",1364,288000,"olej napędowy (diesel)",2005,"granatowy","Polska","Nie","manualna"
172,102000,170,"Mercedes-Benz","220","4/5",2148,97000,"olej napędowy (diesel)",2009,"czarny","Polska","Nie","manualna"
173,52900,163,"Mercedes-Benz","CLK 200","2/3",1796,90000,"benzyna",2005,"czarny-metallic","Polska","Nie","automatyczna"
174,75000,313,"Volkswagen","Touareg","4/5",4921,166200,"olej napędowy (diesel)",2005,"czarny-metallic","Niemcy","Nie","automatyczna"
175,10500,60,"Fiat","Punto","4/5",1242,91500,"benzyna",2003,"czerwony","Polska","Nie","manualna"
176,77900,231,"BMW","730","4/5",3000,254000,"olej napędowy (diesel)",2006,"srebrny","Niemcy","Nie","automatyczna"
177,38900,140,"Volkswagen","Passat","4/5",1968,120,"olej napędowy (diesel)",2007,"granatowy-metallic","Niemcy","Nie","automatyczna"
178,13500,74,"Opel","Astra","4/5",1598,240000,"benzyna",2003,"srebrny","Polska","Nie","manualna"
179,119900,160,"Opel","Insignia","4/5",1956,28000,"olej napędowy (diesel)",2010,"bialy","Niemcy","Nie","manualna"
180,125900,240,"Audi","A5","2/3",3000,82000,"olej napędowy (diesel)",2009,"czarny-metallic","Polska","Nie","automatyczna"
181,87900,136,"Ford","Kuga","4/5",1997,13000,"olej napędowy (diesel)",2009,"grafitowy-metallic","Polska","Nie","manualna"
182,27900,75,"Opel","Corsa","2/3",1248,69300,"olej napędowy (diesel)",2009,"granatowy-metallic","Polska","Nie","manualna"
183,21900,130,"Volkswagen","Passat","4/5",1900,218000,"olej napędowy (diesel)",2002,"granatowy-metallic","Niemcy","Nie","manualna"
184,37500,136,"Volkswagen","Passat","4/5",1968,134500,"olej napędowy (diesel)",2005,"niebieski-metallic","Polska","Nie","manualna"
185,259500,245,"Audi","A7","4/5",2967,10450,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","automatyczna"
187,9700,150,"Opel","Omega","4/5",2497,231000,"olej napędowy (diesel)",2002,"czarny-metallic","Niemcy","Nie","automatyczna"
188,69900,218,"BMW","X5","4/5",3000,93000,"olej napędowy (diesel)",2005,"czarny-metallic","Niemcy","Nie","automatyczna"
189,17100,90,"Volkswagen","Golf","4/5",1896,248,"olej napędowy (diesel)",2001,"czarny-metallic","Niemcy","Nie","manualna"
